cluster_id,occupancy,n_structures_occupied,n_structures_total,occupancy_fraction,evo_min_score,evo_mean_score,evo_max_grade,evo_n_residues,evo_n_low_confidence,evo_n_unscored
0,1,1,22,0.0455,NA,NA,NA,0,0,1
1,1,1,22,0.0455,NA,NA,NA,0,0,0
2,2,1,22,0.0455,NA,NA,NA,0,0,1
3,0,0,22,0.0,NA,NA,NA,0,0,0
4,0,0,22,0.0,NA,NA,NA,0,0,0
5,2,2,22,0.0909,NA,NA,NA,0,0,0
6,1,1,22,0.0455,NA,NA,NA,0,0,1
7,22,22,22,1.0,-1.248,-1.126,9,2,0,0
8,2,1,22,0.0455,NA,NA,NA,0,0,0
9,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
10,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
11,0,0,22,0.0,NA,NA,NA,0,0,0
12,1,1,22,0.0455,NA,NA,NA,0,0,1
13,1,1,22,0.0455,NA,NA,NA,0,0,0
14,22,22,22,1.0,-1.269,-0.782,9,3,0,0
15,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
16,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
17,2,2,22,0.0909,0.89,0.89,4,1,0,0
18,22,22,22,1.0,-1.248,-1.126,9,2,0,0
19,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
20,22,22,22,1.0,-1.269,-0.782,9,3,0,0
21,22,22,22,1.0,-1.248,-1.126,9,2,0,0
22,22,22,22,1.0,-1.248,-1.126,9,2,0,0
23,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
24,22,22,22,1.0,-1.248,-0.8438,9,4,0,0
25,2,1,22,0.0455,NA,NA,NA,0,0,1
26,22,22,22,1.0,-1.269,-0.782,9,3,0,0
27,22,22,22,1.0,-1.269,-0.782,9,3,0,0
28,0,0,22,0.0,NA,NA,NA,0,0,0
29,2,2,22,0.0909,0.45,0.45,4,1,0,0
30,2,1,22,0.0455,NA,NA,NA,0,0,3
31,2,2,22,0.0909,0.394,0.394,4,1,0,0
32,2,2,22,0.0909,0.708,0.708,4,1,0,0
33,1,1,22,0.0455,NA,NA,NA,0,0,1
34,2,1,22,0.0455,NA,NA,NA,0,0,1
35,3,3,22,0.1364,-0.243,0.6195,6,2,0,0
36,2,2,22,0.0909,NA,NA,NA,0,0,0
37,1,1,22,0.0455,NA,NA,NA,0,0,0
38,2,2,22,0.0909,NA,NA,NA,0,0,0
39,2,2,22,0.0909,NA,NA,NA,0,0,0
40,4,4,22,0.1818,0.296,0.296,5,1,0,0
41,5,5,22,0.2273,0.296,0.296,5,1,0,0
42,2,1,22,0.0455,NA,NA,NA,0,0,1
43,4,4,22,0.1818,1.837,1.837,2,1,0,0
44,2,1,22,0.0455,NA,NA,NA,0,0,1
45,1,1,22,0.0455,NA,NA,NA,0,0,1
46,2,2,22,0.0909,0.111,0.111,5,1,0,0
47,2,2,22,0.0909,0.111,0.111,5,1,0,0
48,3,3,22,0.1364,0.111,0.111,5,1,0,0
49,2,2,22,0.0909,NA,NA,NA,0,0,0
50,2,2,22,0.0909,NA,NA,NA,0,0,0
51,3,3,22,0.1364,0.875,0.9985,4,2,0,1
52,3,3,22,0.1364,NA,NA,NA,0,0,0
53,3,3,22,0.1364,0.875,0.875,4,1,0,1
54,4,4,22,0.1818,1.122,1.156,3,2,0,1
55,3,3,22,0.1364,1.19,1.19,3,1,0,0
56,2,2,22,0.0909,NA,NA,NA,0,0,0
57,1,1,22,0.0455,NA,NA,NA,0,0,0
58,7,7,22,0.3182,-0.272,0.5977,6,3,0,1
59,3,3,22,0.1364,1.122,1.122,3,1,0,0
60,2,2,22,0.0909,1.122,1.122,3,1,0,0
61,2,1,22,0.0455,NA,NA,NA,0,0,1
62,3,3,22,0.1364,1.837,1.837,2,1,0,0
63,3,3,22,0.1364,2.671,2.671,1,1,0,0
64,3,3,22,0.1364,-0.507,0.184,7,2,0,0
65,2,2,22,0.0909,2.709,2.709,1,1,0,0
66,2,1,22,0.0455,NA,NA,NA,0,0,1
67,2,2,22,0.0909,NA,NA,NA,0,0,0
68,5,5,22,0.2273,2.671,2.671,1,1,0,0
69,4,4,22,0.1818,2.671,2.671,1,1,0,0
70,3,3,22,0.1364,1.837,1.837,2,1,0,0
71,6,6,22,0.2727,0.347,0.3985,4,2,0,0
72,1,1,22,0.0455,-1.031,-0.84,9,2,0,0
73,2,2,22,0.0909,NA,NA,NA,0,0,0
